incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24041216,4/10/2024 2:00:00 AM,4/10/2024 2:00:00 AM,5322,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,YES,6TH DIVISION,625,RESIDENCE/HOME,6200 BLOCK SIX MILE LN,LOUISVILLE,40218,53524
LMPD24040794,4/9/2024 1:55:00 PM,4/8/2024 10:00:00 PM,8373,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,NO,2ND DIVISION,236,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,2400 BLOCK MERCER AVE,LOUISVILLE,40216,53525
LMPD24040615,4/8/2024 11:24:00 PM,4/8/2024 11:24:00 PM,5342,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,YES,4TH DIVISION,435,RESIDENCE/HOME,4400 BLOCK STOLTZ CT,LOUISVILLE,40215,53526
LMPD24040690,4/9/2024 5:16:00 AM,4/9/2024 5:16:00 AM,7309,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,NO,2ND DIVISION,212,RESIDENCE/HOME,4500 BLOCK DUMESNIL ST,LOUISVILLE,40211,53527
LMPD24040507,4/8/2024 5:54:00 PM,4/1/2024 5:54:00 PM,5258,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,4TH DIVISION,411,RESIDENCE/HOME,1400 BLOCK S 2ND ST,LOUISVILLE,40208,53528
LMPD24041046,4/10/2024 1:50:00 AM,4/10/2024 1:50:00 AM,5527,56 ALL OTHER OFFENSES,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT 403.785 03018 90Z,90Z,B,NO,2ND DIVISION,211,RESIDENCE/HOME,4300 BLOCK LARKWOOD AVE,LOUISVILLE,40212,53529
LMPD24040786,4/9/2024 1:28:00 PM,3/29/2024 3:00:00 PM,8373,56 ALL OTHER OFFENSES,PROPERTY LOST OR ABANDONED NON CRIMINAL 67.592(1C) 03024 90Z,90Z,B,NO,1ST DIVISION,123,PARKING/ DROP LOT/ GARAGE,100 BLOCK N 4TH ST,LOUISVILLE,40202,53530
LMPD24043120,4/9/2024 5:15:00 AM,4/9/2024 4:00:00 AM,5505,23 LARCENY,TBUT OR DISP ALL OTHERS 514.030 24095 23H,23H,A,YES,1ST DIVISION,123,OTHER RESIDENCE (APARTMENT/CONDO),500 BLOCK S 8TH ST,LOUISVILLE,40203,53531
LMPD24901243,4/8/2024 5:54:00 PM,4/8/2024 5:54:00 PM,8185,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,315,GROCERY/ SUPERMARKET,9900 BLOCK DIXIE HWY,LOUISVILLE,40272,53532
LMPD24041029,4/10/2024 1:22:00 AM,4/10/2024 1:20:00 AM,7495,34 NARCOTICS,POSS OF MARIJUANA 218A.1422 42330 35A,35A,A,YES,2ND DIVISION,236,CONVENIENCE STORE,4000 BLOCK CANE RUN RD,LOUISVILLE,40216,53533
LMPD24900962,4/9/2024 1:25:00 PM,4/9/2024 1:25:00 PM,8185,12 INTIMIDATION,HARASSMENT (NO PHYSICAL CONTACT) 525.070 02405 13C,13C,A,YES,7TH DIVISION,711,CONVENIENCE STORE,6300 BLOCK BARDSTOWN RD,LOUISVILLE,40291,53534
