INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,BADGE_ID,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-21-006009,2021-01-30 16:08:00,2021-01-30 16:08:00,7334            ,ASSAULT,MURDER ATTEMPTED,13A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,4300 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,5778
80-21-006057,2021-01-31 01:32:00,2021-01-31 00:45:00,5222            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,3600 BLOCK KELLY WAY                                        ,LOUISVILLE,40220,5779
80-21-005878,2021-01-29 21:54:00,2021-01-29 21:45:00,5181            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,700 BLOCK S 38TH ST                                         ,LOUISVILLE,40211,5780
80-21-006058,2021-01-31 00:09:00,2021-01-31 00:01:00,7098            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,8TH DIVISION,811,HIGHWAY / ROAD / ALLEY                       ,WESTPORT RD AT I265                                         ,LOUISVILLE,40241,5781
80-21-005958,2021-01-30 11:56:00,2021-01-30 11:56:00,5309            ,DRUGS/ALCOHOL VIOLATIONS,"TRAF N CONT SUB 3RD DEG,1ST OFF(>OR=20 BUT<OR=120 DU DRUG UN",35A,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,S 6TH ST / W HILL ST                                        ,LOUISVILLE,40208,5782
80-21-006009,2021-01-30 16:08:00,2021-01-30 16:08:00,7334            ,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,4300 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,5783
80-21-005879,2021-01-29 21:19:00,2021-01-29 21:19:00,5292            ,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,2ND DIVISION,223,AIR / BUS / TRAIN TERMINAL                   ,LOUIS COLEMAN JR DR / VIRGINIA AVE                          ,LOUISVILLE,40211,5784
80-21-005959,2021-01-30 12:12:00,2021-01-30 11:53:00,7463            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,112,OTHER RESIDENCE (APARTMENT/CONDO)            ,500 BLOCK S 18TH ST                                         ,LOUISVILLE,40203,5785
80-21-006060,2021-01-31 01:39:00,2021-01-31 00:39:00,5223            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME                             ,4700 BLOCK MARCY AVE                                        ,LOUISVILLE,40272,5786
80-21-005880,2021-01-29 22:15:00,2020-07-06 23:00:00,8436            ,FRAUD,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,26C,PART II,COMPLETED,8TH DIVISION,811,OTHER RESIDENCE (APARTMENT/CONDO)            ,100 BLOCK CHARTER OAKS DR                                   ,LOUISVILLE,40241,5787
80-21-006158,2021-01-31 16:21:00,2021-01-31 16:21:00,5151            ,DRUGS/ALCOHOL VIOLATIONS,TRAF IN MARIJUANA-LESS THAN 8 OZ-1ST OFFENSE,35A,PART II,COMPLETED,2ND DIVISION,223,PARKING LOT / GARAGE                         ,900 BLOCK DIXIE HWY                                         ,LOUISVILLE,40210,5788
80-21-005960,2021-01-30 12:45:00,2021-01-30 01:25:00,5149            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,8000 BLOCK CEDAR BROOK DR                                   ,LOUISVILLE,40219,5789
80-21-500097,2021-01-30 12:26:00,2021-01-28 23:20:00,8142            ,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,5TH DIVISION,512,BAR / NIGHT CLUB                             ,900 BLOCK BAXTER AVE                                        ,LOUISVILLE,40204,5790
80-21-005961,2021-01-30 12:18:00,2021-01-30 11:44:00,7437            ,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,4300 BLOCK BLUE SKY CT                                      ,LOUISVILLE,40216,5791
80-21-005963,2021-01-30 13:00:00,2021-01-15 11:30:00,5195            ,THEFT/LARCENY,THEFT BY DECEPTION-INCL COLD CHECKS U/$500,23H,PART I,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY                       ,4400 BLOCK FALLEN APPLE LN                                  ,LOUISVILLE,40218,5792
80-21-005965,2021-01-30 13:11:00,2021-01-29 23:00:00,8109            ,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,8TH DIVISION,811,COMMERCIAL / OFFICE BUILDING                 ,3700 BLOCK COLLINS LN                                       ,LOUISVILLE,40245,5793
80-21-005966,2021-01-30 12:39:00,2021-01-30 12:25:00,5151            ,WEAPONS,POSS HANDGUN BY MINOR 1ST OFFENSE,520,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,1600 BLOCK BRASHEAR DR                                      ,LOUISVILLE,40210,5794
