ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
22081,80-19-027872,2019/04/19 19:59:00,2019/04/18 07:25:00,THEFT/LARCENY,"TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000",23D,PART I,COMPLETED,1ST DIVISION,123,HOTEL / MOTEL / ETC.                         ,300 BLOCK W BROADWAY                                        ,LOUISVILLE,40202
22082,80-19-027874,2019/04/19 19:41:00,2019/04/19 15:00:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,3RD DIVISION,331,CYBERSPACE                                   ,6500 BLOCK HACKEL DR                                        ,LOUISVILLE,40258
22083,80-19-027874,2019/04/19 19:41:00,2019/04/19 15:00:00,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,3RD DIVISION,331,CYBERSPACE                                   ,6500 BLOCK HACKEL DR                                        ,LOUISVILLE,40258
22084,80-19-027875,2019/04/19 20:10:00,2019/04/18 21:45:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,1ST DIVISION,123,SERVICE / GAS STATION                        ,400 BLOCK S 8TH ST                                          ,LOUISVILLE,40203
22085,80-19-027879,2019/04/19 20:29:00,2019/04/17 22:30:00,THEFT/LARCENY,TBUT OR DISP BICYCLES U/$500,23H,PART I,COMPLETED,8TH DIVISION,812,DEPARTMENT / DISCOUNT STORE                  ,4100 BLOCK TOWNE CENTER DR                                  ,LOUISVILLE,40241
22086,80-19-027884,2019/04/19 20:40:00,2019/04/19 20:36:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,4100 BLOCK FLINTLOCK DR                                     ,LOUISVILLE,40216
22087,80-19-027884,2019/04/19 20:40:00,2019/04/19 20:36:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,4100 BLOCK FLINTLOCK DR                                     ,LOUISVILLE,40216
22088,80-19-027885,2019/04/19 20:27:00,2019/04/19 20:20:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,5TH DIVISION,521,OTHER RESIDENCE (APARTMENT/CONDO)            ,2100 BLOCK PAYNE ST                                         ,LOUISVILLE,40206
22089,80-19-027888,2019/04/19 21:04:00,2019/04/19 18:48:00,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 OR >  BUT < $10,000",23C,PART I,COMPLETED,8TH DIVISION,812,DEPARTMENT / DISCOUNT STORE                  ,4300 BLOCK TOWNE CENTER DR                                  ,LOUISVILLE,40241
22090,80-19-027889,2019/04/19 21:04:00,2019/04/19 17:30:00,THEFT/LARCENY,THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE MISD,23H,PART I,COMPLETED,8TH DIVISION,815,OTHER / UNKNOWN                              ,200 BLOCK BULLITT LN                                        ,LOUISVILLE,40222
22091,80-19-027891,2019/04/19 21:05:00,2019/04/19 17:30:00,FRAUD,FRAUDULENT USE OF CREDIT CARDS U/$500 W/6 MO PERIOD,26B,PART II,COMPLETED,8TH DIVISION,815,DEPARTMENT / DISCOUNT STORE                  ,7900 BLOCK SHELBYVILLE RD                                   ,LOUISVILLE,40222
22092,80-19-027894,2019/04/19 21:22:00,2019/04/19 20:30:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,7TH DIVISION,735,DEPARTMENT / DISCOUNT STORE                  ,4900 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219
22093,80-19-027895,2019/04/19 19:39:00,2019/04/18 23:00:00,BURGLARY,BURGLARY - 1ST DEGREE,220,PART I,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,10200 BLOCK FAIRMOUNT RD                                    ,LOUISVILLE,40291
22094,80-19-027899,2019/04/19 21:18:00,2019/04/19 21:15:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1600 BLOCK BRASHEAR DR                                      ,LOUISVILLE,40210
22095,80-19-027900,2019/04/19 19:40:00,2019/04/19 19:38:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,6000 BLOCK ALANADALE DR                                     ,LOUISVILLE,40272
22096,80-19-027903,2019/04/19 20:25:00,2019/04/18 19:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,4500 BLOCK FEGENBUSH LN                                     ,LOUISVILLE,40228
22097,80-19-027904,2019/04/19 22:11:00,2019/04/19 21:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE                         ,10400 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272
22098,80-19-027908,2019/04/19 22:32:00,2019/04/19 22:19:00,ASSAULT,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",13B,PART II,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,6800 BLOCK BROOKLAWN DR                                     ,LOUISVILLE,40214
22099,80-19-027911,2019/04/19 21:42:00,2019/04/19 21:25:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,3800 BLOCK SEDALIA TRL                                      ,LOUISVILLE,40272
22100,80-19-027914,2019/04/19 22:56:00,2019/04/19 22:48:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,4TH DIVISION,436,OTHER RESIDENCE (APARTMENT/CONDO)            ,100 BLOCK COLONIAL OAKS CT                                  ,LOUISVILLE,40214
22101,80-19-027916,2019/04/19 22:02:00,2019/04/19 22:02:00,OTHER,OVERDOSE,999,,COMPLETED,1ST DIVISION,111,PARKING LOT / GARAGE                         ,2000 BLOCK PORTLAND AVE                                     ,LOUISVILLE,40203
22102,80-19-027918,2019/04/19 22:47:00,2019/04/19 22:13:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3700 BLOCK CRAIG AVE                                        ,LOUISVILLE,40215
22103,80-19-027919,2019/04/19 23:04:00,2019/04/19 22:50:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,4000 BLOCK PINECROFT DR                                     ,LOUISVILLE,40219
22104,80-19-028156,2019/04/20 23:45:00,2019/04/20 23:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3600 BLOCK MANSLICK RD                                      ,LOUISVILLE,40215
22105,80-19-028157,2019/04/20 22:50:00,2019/04/20 22:49:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,334,PARKING LOT / GARAGE                         ,4600 BLOCK VALLEY STATION RD                                ,LOUISVILLE,40272
22106,80-19-028103,2019/04/20 19:41:00,2019/04/18 18:30:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,4TH DIVISION,423,PARK / PLAYGROUND                            ,@WILLIAM HARRISON PARK                                      ,LOUISVILLE,40215
22107,80-19-028105,2019/04/20 20:00:00,2019/04/20 18:50:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,100 BLOCK S LONGWORTH AVE                                   ,LOUISVILLE,40212
