INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-09-003030,1/13/09 4:28 PM,1/13/09 4:28 PM,DRUG PARAPHERNALIA-BUY/POSSESS-1ST OFFENSE,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE,40229,498550,52265
80-09-069912,9/16/09 12:47 AM,9/15/09 11:00 PM,MISSING PERSONS,OTHER,90Z,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME,10000 BLOCK WHIPPS MILL RD                                  ,LOUISVILLE,40223,498551,52266
80-09-067271,9/6/09 7:50 PM,9/6/09 7:50 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,2700 BLOCK S 6TH ST                                         ,LVIL,40208,498552,52267
80-09-067281,9/6/09 9:05 PM,9/6/09 9:05 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,423,OTHER / UNKNOWN,GEORGETOWN CIR / LIBERTY BELL WAY                           ,LVIL,40215,498553,52268
80-09-069850,9/15/09 6:30 PM,9/15/09 12:00 PM,MISSING PERSONS,OTHER,90Z,PART II,COMPLETED,METRO LOUISVILLE,STM,OTHER RESIDENCE (APARTMENT/CONDO),100 BLOCK MARSHALL DR                                       ,ST_MATTHEWS,40207,498554,52269
80-09-070336,5/26/09 4:18 PM,5/26/09 4:18 PM,OBSCURING THE IDENTITY OF A MACHINE U/$500,FRAUD,26A,PART II,COMPLETED,7TH DIVISION,723,HIGHWAY / ROAD / ALLEY,ARTISAN WAY                                                 ,LOUISVILLE,40228,498555,52270
80-09-053462,7/20/09 9:02 PM,7/20/09 9:02 PM,DRUG PARAPHERNALIA-BUY/POSSESS-1ST OFFENSE,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,500 BLOCK PHILLIPS LN                                       ,LOUISVILLE,40209,498557,52271
80-09-070341,9/18/09 7:56 AM,9/5/09 10:00 AM,"FRAUDULENT USE OF CREDIT CARDS U/$10,000",FRAUD,26B,PART II,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN,COMMUNITY AT LARGE,LOUISVILLE,40056,498558,52272
80-09-070145,9/16/09 9:00 PM,9/16/09 8:45 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,5TH DIVISION,521,GROCERY / SUPERMARKET,2200 BLOCK BROWNSBORO RD                                    ,LVIL,40206,498626,52273
80-09-069845,9/15/09 5:44 PM,9/15/09 5:44 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,7TH DIVISION,735,DEPARTMENT / DISCOUNT STORE,4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,498627,52274
80-09-070188,9/16/09 11:53 PM,9/16/09 11:53 PM,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,OTHER,999,,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY,1600 BLOCK GALLAGHER ST                                     ,LVIL,40210,498628,52275
80-09-064676,8/28/09 3:18 PM,8/28/09 3:39 AM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,900 BLOCK VINE ST                                           ,LOUISVILLE,40204,485922,52276
80-09-064680,8/28/09 4:16 PM,8/28/09 5:38 AM,THEFT BY UNLAWFUL TAKING/DISP-ALL OTHERS - FELONY CLASS D,THEFT/LARCENY,23H,PART I,COMPLETED,3RD DIVISION,334,PARKING LOT / GARAGE,7400 BLOCK GRANNEL RD                                       ,LOUISVILLE,40214,485923,52277
80-09-064284,8/26/09 9:22 PM,8/26/09 9:10 PM,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME,4500 BLOCK BROADLEAF DR                                     ,LOUISVILLE,40216,485924,52278
80-09-062257,8/19/09 9:39 PM,8/19/09 9:39 PM,CRIMINAL POSSESSION FORGED INSTRUMENT-1ST DEGREE-IDENTIFY,FRAUD,250,PART II,COMPLETED,3RD DIVISION,315,LIQUOR STORE,10600 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,485820,52279
80-09-063697,8/24/09 8:37 PM,8/24/09 8:37 PM,TRAF CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,8TH DIVISION,815,PARKING LOT / GARAGE,9300 BLOCK BLAIRWOOD RD                                     ,LOUISVILLE,40222,485947,52280
80-09-061122,8/16/09 3:31 AM,8/16/09 2:00 AM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME,14000 BLOCK ECHO HILL TRL                                   ,LOUISVILLE,40299,478634,52281
80-09-072175,9/23/09 7:00 AM,9/23/09 7:00 AM,MISSING PERSONS,OTHER,90Z,PART II,COMPLETED,7TH DIVISION,735,OTHER / UNKNOWN,8300 BLOCK TWISTED PINE RD                                  ,LOUISVILLE,40219,502091,52282
80-09-061130,8/16/09 4:20 AM,8/16/09 3:55 AM,"THEFT BY UNLAWFUL TAKING/DISP-AUTO $10,000 OR MORE",MOTOR VEHICLE THEFT,240,PART I,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE,7000 BLOCK LINTON CT                                        ,LOUISVILLE,40258,478635,52283
80-09-061132,8/16/09 4:25 AM,8/16/09 4:25 AM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,423,BAR / NIGHT CLUB,2500 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40208,478636,52284
80-09-061116,8/16/09 2:18 AM,8/16/09 2:18 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,423,SERVICE / GAS STATION,3500 BLOCK TAYLOR BLVD                                      ,LOUISVILLE,40215,478637,52285
80-09-061113,8/16/09 6:12 AM,8/15/09 10:00 PM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,7TH DIVISION,723,PARKING LOT / GARAGE,8200 BLOCK SMYRNA PKY                                       ,LOUISVILLE,40228,478638,52286
80-09-060610,8/14/09 4:32 AM,8/14/09 4:32 AM,CRIMINAL MISCHIEF-2ND DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,411,GROCERY / SUPERMARKET,900 BLOCK S 2ND ST                                          ,LOUISVILLE,40203,478639,52287
80-09-061106,8/16/09 2:15 AM,8/16/09 2:00 AM,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,OTHER,90Z,PART I,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE,4900 BLOCK SADDLEBROOK LN                                   ,LOUISVILLE,40216,478640,52288
80-09-061131,8/16/09 4:12 AM,8/16/09 3:20 AM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME,4400 BLOCK SANDERS LN                                       ,LOUISVILLE,40216,478641,52289
80-09-060920,8/15/09 7:54 AM,8/14/09 7:00 AM,CRIMINAL MISCHIEF - 1ST DEGREE,VANDALISM,290,PART II,COMPLETED,5TH DIVISION,521,HIGHWAY / ROAD / ALLEY,2300 BLOCK PAYNE ST                                         ,LOUISVILLE,40206,478642,52290
80-09-060974,8/15/09 2:06 PM,8/15/09 1:06 PM,TERRORISTIC THREATENING 3RD DEGREE,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,3700 BLOCK W WHEATMORE DR                                   ,LOUISVILLE,40215,478643,52291
80-09-061156,8/16/09 8:59 AM,8/15/09 11:00 PM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,6TH DIVISION,611,RESIDENCE / HOME,2500 BLOCK CONCORD DR                                       ,LOUISVILLE,40217,482354,52292
80-09-060965,8/15/09 1:57 PM,8/14/09 6:00 PM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME,5900 BLOCK HILLWOOD DR                                      ,LOUISVILLE,40219,482355,52293
80-09-061165,8/16/09 10:20 AM,8/16/09 2:00 AM,CRIMINAL MISCHIEF-2ND DEGREE,VANDALISM,290,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME,2200 BLOCK LANDAN DR                                        ,LOUISVILLE,40218,482356,52294
80-09-061163,8/16/09 9:45 AM,8/16/09 9:45 AM,CRIMINAL MISCHIEF-2ND DEGREE,VANDALISM,290,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE,5600 BLOCK BUTTERNUT RD                                     ,LOUISVILLE,40219,482357,52295
80-09-061174,8/16/09 11:16 AM,8/15/09 11:30 PM,THEFT BY UNLAWFUL TAKING/DISP-AUTO - FELONY CLASS D,MOTOR VEHICLE THEFT,240,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,2000 BLOCK LOWER HUNTERS TRCE                               ,LOUISVILLE,40216,482358,52296
80-09-061175,8/16/09 11:13 AM,8/16/09 5:00 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY,BRAMBLE CT / BRAMBLE LN                                     ,LOUISVILLE,40258,482359,52297
80-09-061181,8/16/09 12:26 PM,8/15/09 9:30 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,6TH DIVISION,625,GOVERNMENT / PUBLIC BUILDING,4000 BLOCK TAYLORSVILLE RD                                  ,LOUISVILLE,40220,482360,52298
80-09-061182,8/16/09 12:26 PM,8/16/09 12:12 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME,8300 BLOCK ROSEBOROUGH RD                                   ,LOUISVILLE,40228,482361,52299
80-09-061192,8/16/09 12:53 PM,8/16/09 12:53 PM,CRIMINAL MISCHIEF - 1ST DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,3800 BLOCK CRAIG AVE                                        ,LOUISVILLE,40215,482362,52300
80-09-061233,8/16/09 4:54 PM,8/16/09 4:30 PM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME,1400 BLOCK BLAND ST                                         ,LOUISVILLE,40217,482363,52301
80-09-061232,8/16/09 5:00 PM,8/15/09 6:30 PM,PROPERTY LOST OR ABANDONED NON CRIMINAL,OTHER,90Z,PART II,COMPLETED,7TH DIVISION,735,OTHER / UNKNOWN,4800 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219,482364,52302
80-09-061231,8/16/09 5:00 PM,8/15/09 11:00 PM,THEFT BY UNLAWFUL TAKING/DISP-AUTO - FELONY CLASS D,MOTOR VEHICLE THEFT,240,PART I,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME,9100 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40272,482365,52303
80-09-068620,9/11/09 12:47 PM,9/2/09 1:00 PM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,4200 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,502060,52304
80-09-072824,9/26/09 1:37 AM,9/25/09 7:45 AM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME,1300 BLOCK SCHOLAR ST                                       ,LOUISVILLE,40213,502061,52305
80-09-072851,9/26/09 6:56 AM,9/25/09 6:00 PM,BURGLARY - 3RD DEGREE,BURGLARY,220,PART I,COMPLETED,8TH DIVISION,823,OTHER / UNKNOWN,3000 BLOCK S ENGLISH STATION RD                             ,LOUISVILLE,40299,502062,52306
80-09-072858,9/26/09 9:04 AM,9/25/09 11:30 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME,5200 BLOCK CRAIGS CREEK DR                                  ,LOUISVILLE,40241,502063,52307
80-09-072867,9/26/09 10:57 AM,9/25/09 7:00 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,436,PARKING LOT / GARAGE,5100 BLOCK S 1ST ST                                         ,LOUISVILLE,40214,502064,52308
80-09-072857,9/26/09 9:07 AM,9/25/09 8:30 PM,BURGLARY - 3RD DEGREE,BURGLARY,220,PART I,COMPLETED,6TH DIVISION,625,GROCERY / SUPERMARKET,3000 BLOCK HUNSINGER LN                                     ,LOUISVILLE,40220,502065,52309
80-09-072864,9/26/09 10:26 AM,9/23/09 12:00 PM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,7300 BLOCK ST ANDREWS CHURCH RD                             ,LOUISVILLE,40214,502066,52310
80-09-072873,9/26/09 12:03 PM,9/21/09 7:30 AM,BURGLARY - 3RD DEGREE,BURGLARY,220,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME,5100 BLOCK SOUTHSIDE DR                                     ,LOUISVILLE,40214,502067,52311
80-09-072876,9/26/09 11:50 AM,9/26/09 7:00 AM,ANY NON CRIMINAL CHARGE NOT COVERED BY THESE CODES,OTHER,90Z,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME,9100 BLOCK KENLOCK DR                                       ,ROLLING_HILLS,40242,502068,52312
