INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-019546,2020-03-26 17:04:00,2020-03-20 12:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,7TH DIVISION,736,RENTAL / STORAGE FACILITY                    ,6700 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219,15024
80-20-019547,2020-03-26 17:01:00,2020-03-15 17:01:00,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,6600 BLOCK VANDRE AVE                                       ,LOUISVILLE,40228,15025
80-20-019549,2020-03-26 17:14:00,2020-03-26 16:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,1ST DIVISION,134,RESIDENCE / HOME                             ,1100 BLOCK MARKET ST                                        ,LOUISVILLE,40206,15026
80-20-019550,2020-03-26 16:58:00,2020-03-25 16:00:00,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,8TH DIVISION,815,OTHER / UNKNOWN                              ,7400 BLOCK STEEPLECREST CIR                                 ,LOUISVILLE,40222,15027
80-20-019552,2020-03-26 17:13:00,2020-03-24 03:00:00,FRAUD,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,26C,PART II,COMPLETED,6TH DIVISION,625,DEPARTMENT / DISCOUNT STORE                  ,3300 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40218,15028
80-20-019553,2020-03-26 17:18:00,2020-03-26 16:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,1ST DIVISION,134,RESIDENCE / HOME                             ,1100 BLOCK MARKET ST                                        ,LOUISVILLE,40206,15029
80-20-019554,2020-03-26 17:22:00,2020-03-23 18:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,4800 BLOCK RAILROAD AVE                                     ,LOUISVILLE,40258,15030
80-20-019558,2020-03-26 17:46:00,2020-03-11 14:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,8TH DIVISION,812,RESIDENCE / HOME                             ,900 BLOCK RIVERSIDE DR                                      ,LOUISVILLE,40207,15031
80-20-019559,2020-03-26 17:49:00,2020-03-25 11:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,8TH DIVISION,812,RESIDENCE / HOME                             ,900 BLOCK RIVERSIDE DR                                      ,LOUISVILLE,40207,15032
80-20-019561,2020-03-26 17:55:00,2020-03-26 17:35:00,ASSAULT,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",13B,PART II,COMPLETED,7TH DIVISION,724,RESTAURANT                                   ,11800 BLOCK STANDIFORD PLAZA DR                             ,LOUISVILLE,40229,15033
80-20-019562,2020-03-26 17:57:00,2020-03-26 17:35:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,5TH DIVISION,521,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK MELLWOOD AVE                                     ,LOUISVILLE,40206,15034
80-20-019563,2020-03-26 18:11:00,2020-03-26 18:11:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,35A,PART II,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY                       ,1600 BLOCK S 30TH ST                                        ,LOUISVILLE,40211,15035
80-20-019564,2020-03-26 17:54:00,2020-03-26 10:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4600 BLOCK SILVERLEAF DR                                    ,LOUISVILLE,40213,15036
80-20-500129,2020-03-26 16:08:00,2020-03-26 02:10:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000",23G,PART I,COMPLETED,2ND DIVISION,236,COMMERCIAL / OFFICE BUILDING                 ,3400 BLOCK KRAMERS LN                                       ,LOUISVILLE,40216,15037
80-20-019565,2020-03-26 18:20:00,2020-03-26 17:10:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,7TH DIVISION,723,SERVICE / GAS STATION                        ,7100 BLOCK CEDAR SPRINGS BLVD                               ,LOUISVILLE,40291,15038
80-20-019566,2020-03-26 18:24:00,2020-03-26 18:24:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,8TH DIVISION,811,PARKING LOT / GARAGE                         ,10100 BLOCK SUMMIT PARK PL                                  ,LOUISVILLE,40241,15039
80-20-019566,2020-03-26 18:24:00,2020-03-26 18:24:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,8TH DIVISION,811,PARKING LOT / GARAGE                         ,10100 BLOCK SUMMIT PARK PL                                  ,LOUISVILLE,40241,15040
80-20-019566,2020-03-26 18:24:00,2020-03-26 18:24:00,THEFT/LARCENY,RECEIVING STOLEN PROPERTY (FIREARM),280,PART II,COMPLETED,8TH DIVISION,811,HIGHWAY / ROAD / ALLEY                       ,10100 BLOCK SUMMIT PARK PL                                  ,LOUISVILLE,40241,15041
80-20-019567,2020-03-26 18:02:00,2020-03-26 18:00:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,3100 BLOCK MICHAEL DR                                       ,HOUSTON_ACRES,40220,15042
80-20-019568,2020-03-26 18:33:00,2020-03-26 17:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,2900 BLOCK S 4TH ST                                         ,LOUISVILLE,40208,15043
80-20-019569,2020-03-26 18:35:00,2020-03-26 18:15:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,3RD DIVISION,323,DEPARTMENT / DISCOUNT STORE                  ,100 BLOCK OUTER LOOP                                        ,LOUISVILLE,40214,15044
80-20-019570,2020-03-26 18:51:00,2020-03-26 18:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,8TH DIVISION,811,OTHER / UNKNOWN                              ,3000 BLOCK FREYS HILL RD                                    ,LOUISVILLE,40223,15045
80-20-019571,2020-03-26 19:07:00,2020-03-25 21:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1500 BLOCK LARCHMONT AVE                                    ,LOUISVILLE,40215,15046
80-20-019572,2020-03-26 19:11:00,2020-03-25 21:00:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE                         ,3700 BLOCK FALCON CREST DR                                  ,LOUISVILLE,40219,15047
80-20-019573,2020-03-26 19:21:00,2020-03-26 18:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,8TH DIVISION,811,PARK / PLAYGROUND                            ,3000 BLOCK FREYS HILL RD                                    ,LOUISVILLE,40223,15048
80-20-019574,2020-03-26 19:21:00,2020-03-26 17:30:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,8TH DIVISION,811,PARK / PLAYGROUND                            ,3000 BLOCK FREYS HILL RD                                    ,LOUISVILLE,40223,15049
80-20-019578,2020-03-26 18:10:00,2020-03-26 18:05:00,WEAPONS,POSS HANDGUN BY MINOR 1ST OFFENSE,520,PART II,COMPLETED,4TH DIVISION,412,PARK / PLAYGROUND                            ,600 BLOCK E OAK ST                                          ,LOUISVILLE,40203,15050
80-20-019591,2020-03-26 20:50:00,2020-03-26 20:46:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1300 BLOCK LILLIAN AVE                                      ,LOUISVILLE,40208,15051
80-20-019648,2020-03-27 08:06:00,2020-03-24 08:00:00,THEFT/LARCENY,THEFT BY DECEPTION-INCL COLD CHECKS U/$500,23H,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,5600 BLOCK BUTTERNUT RD                                     ,LOUISVILLE,40219,15052
80-20-019490,2020-03-26 12:10:00,2020-03-03 18:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,5400 BLOCK BRUCE AVE                                        ,LOUISVILLE,40214,15053
80-20-019491,2020-03-26 12:27:00,2020-03-26 09:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,1100 BLOCK E KENTUCKY ST                                    ,LOUISVILLE,40204,15054
80-20-019394,2020-03-25 20:37:00,2020-03-25 20:15:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME                             ,2600 BLOCK LINDSAY AVE                                      ,LOUISVILLE,40206,15055
80-20-019649,2020-03-27 08:24:00,2020-03-23 10:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,8TH DIVISION,811,OTHER RESIDENCE (APARTMENT/CONDO)            ,3700 BLOCK CHARTER OAKS DR                                  ,LOUISVILLE,40241,15056
80-20-019592,2020-03-26 19:30:00,2020-03-23 08:00:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4800 BLOCK S 3RD ST                                         ,LOUISVILLE,40214,15057
80-20-019492,2020-03-26 12:29:00,2020-03-23 17:00:00,BURGLARY,BURGLARY - 1ST DEGREE,220,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3700 BLOCK W WHEATMORE DR                                   ,LOUISVILLE,40215,15058
80-20-019395,2020-03-25 21:27:00,2020-03-25 20:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,135,PARKING LOT / GARAGE                         ,500 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202,15059
80-20-019650,2020-03-27 08:38:00,2020-03-27 08:37:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,1ST DIVISION,135,HOMELESS SHELTER / MISSION                   ,400 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202,15060
80-20-019593,2020-03-26 19:30:00,2020-03-26 19:25:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4800 BLOCK S 3RD ST                                         ,LOUISVILLE,40214,15061
80-20-019651,2020-03-27 08:51:00,2020-03-26 21:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN                              ,100 BLOCK W BROADWAY                                        ,LOUISVILLE,40202,15062
80-20-019493,2020-03-26 12:00:00,2020-03-26 11:45:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,7TH DIVISION,735,OTHER RESIDENCE (APARTMENT/CONDO)            ,5200 BLOCK BRICE BRAMBLE LN                                 ,LOUISVILLE,40219,15063
80-20-019395,2020-03-25 21:27:00,2020-03-25 20:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,ATTEMPTED,1ST DIVISION,135,PARKING LOT / GARAGE                         ,500 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202,15064
80-20-019594,2020-03-26 21:20:00,2020-03-24 01:00:00,THEFT/LARCENY,"THEFT BY DECEPTION-INCL COLD CHECKS U/$10,000",23H,PART I,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,5000 BLOCK WOLFPEN WOODS DR                                 ,LOUISVILLE,40059,15065
80-20-019652,2020-03-27 09:05:00,2020-03-26 18:00:00,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,1100 BLOCK S 41ST ST                                        ,LOUISVILLE,40211,15066
80-20-019494,2020-03-26 12:31:00,2020-03-25 17:00:00,THEFT/LARCENY,"TBUT OR DISP ALL OTHERS > $500 BUT < $10,000",23H,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,700 BLOCK FAIRDALE RD                                       ,LOUISVILLE,40118,15067
80-20-019396,2020-03-25 21:42:00,2020-03-25 21:23:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,8000 BLOCK GLIMMER WAY                                      ,LOUISVILLE,40214,15068
80-20-019594,2020-03-26 21:20:00,2020-03-24 01:00:00,THEFT/LARCENY,"TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000",23D,PART I,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,5000 BLOCK WOLFPEN WOODS DR                                 ,LOUISVILLE,40059,15069
80-20-019653,2020-03-27 09:00:00,2020-03-27 08:43:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME                             ,HASKIN AVE / LONSDALE AVE                                   ,LOUISVILLE,40215,15070
80-20-019495,2020-03-26 12:35:00,2020-03-25 15:00:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,300 BLOCK N 34TH ST                                         ,LOUISVILLE,40212,15071
80-20-019399,2020-03-25 22:09:00,2020-03-25 22:09:00,DRUGS/ALCOHOL VIOLATIONS,TRAF IN CONT SUBST 1ST DEG 2ND OR > OFFENSE  <= 2 GMS METH,35A,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 39TH ST / LARKWOOD AVE                                    ,LOUISVILLE,40212,15072
80-20-019399,2020-03-25 22:09:00,2020-03-25 22:09:00,WEAPONS,POSSESSION OF HANDGUN BY CONVICTED FELON,520,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 39TH ST / LARKWOOD AVE                                    ,LOUISVILLE,40212,15073
80-20-019400,2020-03-25 20:24:00,2020-03-25 20:19:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,7100 BLOCK GREEN OAK DR                                     ,LOUISVILLE,40258,15074
80-20-019401,2020-03-25 22:19:00,2020-01-15 09:00:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,500 BLOCK AUBURNDALE AVE                                    ,LOUISVILLE,40214,15075
80-20-019402,2020-03-25 22:22:00,2020-03-25 21:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,2300 BLOCK GOLDSMITH LN                                     ,LOUISVILLE,40218,15076
80-20-019403,2020-03-25 22:17:00,2020-03-25 18:30:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,4800 BLOCK PRESTON DR                                       ,LOUISVILLE,40213,15077
80-20-019405,2020-03-25 22:39:00,2020-03-24 15:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,1100 BLOCK EVERETT AVE                                      ,LOUISVILLE,40204,15078
80-20-019406,2020-03-25 22:10:00,2020-03-25 22:00:00,ASSAULT,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,13A,PART I,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,5000 BLOCK MARGO AVE                                        ,LOUISVILLE,40258,15079
80-20-019407,2020-03-25 22:23:00,2020-03-25 22:23:00,FRAUD,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,26C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,100 BLOCK W ST CATHERINE ST                                 ,LOUISVILLE,40203,15080
80-20-019407,2020-03-25 22:23:00,2020-03-25 22:23:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,100 BLOCK W ST CATHERINE ST                                 ,LOUISVILLE,40203,15081
80-20-019408,2020-03-25 22:38:00,2020-03-25 22:38:00,OTHER,ACCIDENTAL SHOOTING (OTHER THAN HUNTING),90Z,PART II,COMPLETED,2ND DIVISION,211,CONVENIENCE STORE                            ,4100 BLOCK W MARKET ST                                      ,LOUISVILLE,40212,15082
80-20-019409,2020-03-25 22:55:00,2020-03-25 22:24:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,6500 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219,15083
80-20-019410,2020-03-25 22:59:00,2020-03-25 22:32:00,MOTOR VEHICLE THEFT,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,240,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,8200 BLOCK DENISE DR                                        ,LOUISVILLE,40219,15084
80-20-019410,2020-03-25 22:59:00,2020-03-25 22:32:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,8200 BLOCK DENISE DR                                        ,LOUISVILLE,40219,15085
80-20-019410,2020-03-25 22:59:00,2020-03-25 22:32:00,ASSAULT,STRANGULATION 1ST DEGREE,13A,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,8200 BLOCK DENISE DR                                        ,LOUISVILLE,40219,15086
80-20-019410,2020-03-25 22:59:00,2020-03-25 22:32:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,8200 BLOCK DENISE DR                                        ,LOUISVILLE,40219,15087
80-20-019411,2020-03-25 22:59:00,2020-03-25 22:32:00,MOTOR VEHICLE THEFT,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,240,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,8200 BLOCK DENISE DR                                        ,LOUISVILLE,40219,15088
80-20-019413,2020-03-25 21:48:00,2020-03-25 21:48:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,123.2 I65N                                                  ,LOUISVILLE,40229,15089
80-20-019413,2020-03-25 21:48:00,2020-03-25 21:48:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,123.2 I65N                                                  ,LOUISVILLE,40229,15090
80-20-019414,2020-03-25 23:50:00,2020-03-25 21:15:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1500 BLOCK ARCADE AVE                                       ,LOUISVILLE,40215,15091
80-20-019414,2020-03-25 23:50:00,2020-03-25 21:15:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,1500 BLOCK ARCADE AVE                                       ,LOUISVILLE,40215,15092
80-20-019415,2020-03-25 23:55:00,2020-03-25 23:49:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,1900 BLOCK W CHESTNUT ST                                    ,LOUISVILLE,40203,15093
80-20-019415,2020-03-25 23:55:00,2020-03-25 23:49:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,1900 BLOCK W CHESTNUT ST                                    ,LOUISVILLE,40203,15094
80-20-019416,2020-03-25 23:03:00,2020-03-25 22:45:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME                             ,11000 BLOCK SAYBROOK CT                                     ,LOUISVILLE,40229,15095
80-20-019417,2020-03-26 00:03:00,2020-03-25 23:58:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,5400 BLOCK NEW CUT RD                                       ,LOUISVILLE,40214,15096
80-20-019418,2020-03-26 00:13:00,2020-03-21 21:30:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3200 BLOCK UTAH AVE                                         ,LOUISVILLE,40215,15097
80-20-019419,2020-03-25 23:15:00,2020-03-25 22:30:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,2600 BLOCK EL PATIO PL                                      ,LOUISVILLE,40220,15098
80-20-019420,2020-03-25 23:27:00,2020-03-25 14:10:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,100 BLOCK N 38TH ST                                         ,LOUISVILLE,40212,15099
80-20-019422,2020-03-25 00:46:00,2020-03-25 15:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,613,PARK / PLAYGROUND                            ,5000 BLOCK E INDIAN TRL                                     ,LOUISVILLE,40218,15100
80-20-019423,2020-03-26 00:56:00,2020-03-26 00:56:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,1400 BLOCK LONGFIELD AVE                                    ,LOUISVILLE,40215,15101
80-20-019423,2020-03-26 00:56:00,2020-03-26 00:56:00,WEAPONS,POSSESSION OF HANDGUN BY CONVICTED FELON,520,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,1400 BLOCK LONGFIELD AVE                                    ,LOUISVILLE,40215,15102
80-20-019424,2020-03-26 00:52:00,2020-03-26 00:30:00,ASSAULT,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,3RD DIVISION,322,CONVENIENCE STORE                            ,7400 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214,15103
80-20-019425,2020-03-26 01:37:00,2020-03-26 01:37:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME                             ,10100 BLOCK BLUE CREEK DR                                   ,LOUISVILLE,40229,15104
80-20-019425,2020-03-26 01:37:00,2020-03-26 01:37:00,BURGLARY,BURGLARY - 1ST DEGREE,220,PART I,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME                             ,10100 BLOCK BLUE CREEK DR                                   ,LOUISVILLE,40229,15105
80-20-019595,2020-03-26 20:41:00,2020-03-26 20:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 25TH ST / WOODLAND AVE                                    ,LOUISVILLE,40210,15106
80-20-019655,2020-03-26 14:09:00,2020-03-26 12:30:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,5TH DIVISION,512,CONVENIENCE STORE                            ,900 BLOCK BAXTER AVE                                        ,LOUISVILLE,40204,15107
80-20-019599,2020-03-26 21:35:00,2020-03-26 21:00:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,1600 BLOCK BERRY BLVD                                       ,LOUISVILLE,40215,15108
80-20-019496,2020-03-26 12:39:00,2020-03-25 22:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,8TH DIVISION,824,RESIDENCE / HOME                             ,10700 BLOCK HOBBS STATION RD                                ,LOUISVILLE,40223,15109
80-20-019656,2020-03-27 09:15:00,2020-03-26 19:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,7TH DIVISION,736,OTHER / UNKNOWN                              ,9300 BLOCK BLUE LICK RD                                     ,LOUISVILLE,40229,15110
80-20-019600,2020-03-26 21:50:00,2020-03-22 08:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5300 BLOCK E INDIAN TRL                                     ,LOUISVILLE,40218,15111
80-20-019496,2020-03-26 12:39:00,2020-03-25 22:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,ATTEMPTED,8TH DIVISION,824,RESIDENCE / HOME                             ,10700 BLOCK HOBBS STATION RD                                ,LOUISVILLE,40223,15112
80-20-019657,2020-03-27 09:16:00,2020-03-26 21:30:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,9700 BLOCK NEWBRIDGE RD                                     ,LOUISVILLE,40291,15113
80-20-019601,2020-03-26 21:40:00,2020-03-26 21:00:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,8TH DIVISION,815,OTHER RESIDENCE (APARTMENT/CONDO)            ,1700 BLOCK BRIDGEVIEW LN                                    ,LYNDON,40242,15114
80-20-019496,2020-03-26 12:39:00,2020-03-25 22:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,8TH DIVISION,824,RESIDENCE / HOME                             ,10700 BLOCK HOBBS STATION RD                                ,LOUISVILLE,40223,15115
80-20-019659,2020-03-27 08:55:00,2020-03-27 08:45:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,4200 BLOCK SUNSET DR                                        ,LOUISVILLE,40216,15116
80-20-019602,2020-03-26 22:19:00,2020-03-26 21:15:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,200 BLOCK EL CONQUISTADOR PL                                ,LOUISVILLE,40220,15117
