INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-033306,2020-06-06 08:49:00,2020-06-06 07:49:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4600 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,28700
80-20-033307,2020-06-06 09:16:00,2020-06-06 09:15:00,OTHER,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC,999,,COMPLETED,3RD DIVISION,322,BANK / SAVINGS & LOAN                        ,5500 BLOCK NEW CUT RD                                       ,LOUISVILLE,40214,28701
80-20-033308,2020-06-06 09:24:00,2020-06-06 00:01:00,THEFT/LARCENY,THEFT OF MAIL MATTER,23H,PART I,COMPLETED,8TH DIVISION,824,PARKING LOT / GARAGE                         ,400 BLOCK MOSER RD                                          ,LOUISVILLE,40223,28702
80-20-033309,2020-06-06 08:54:00,2020-06-06 08:50:00,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,CALDWELL ST / S SHELBY ST                                   ,LOUISVILLE,40203,28703
80-20-033312,2020-06-06 09:29:00,2020-06-05 18:00:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,4000 BLOCK W MUHAMMAD ALI BLVD                              ,LOUISVILLE,40212,28704
80-20-033312,2020-06-06 09:29:00,2020-06-05 18:00:00,THEFT/LARCENY,RECEIVING STOLEN PROPERTY (FIREARM),280,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4000 BLOCK W MUHAMMAD ALI BLVD                              ,LOUISVILLE,40212,28705
80-20-033443,2020-06-07 00:01:00,2020-06-06 23:15:00,OTHER,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC,999,,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / W KENTUCKY ST                                   ,LOUISVILLE,40210,28706
80-20-033175,2020-06-05 15:34:00,2020-06-05 15:34:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,4800 BLOCK TRACKERS WAY                                     ,LOUISVILLE,40216,28707
80-20-033444,2020-06-06 21:49:00,2020-06-06 20:00:00,SEX CRIMES,RAPE - 1ST DEGREE,11A,PART I,COMPLETED,2ND DIVISION,223,ABANDONED/CONDEMNED STRUCTURE                ,2700 BLOCK HOWARD ST                                        ,LOUISVILLE,40211,28708
80-20-033536,2020-06-07 15:00:00,2020-06-07 04:00:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,400 BLOCK N 25TH ST                                         ,LOUISVILLE,40212,28709
80-20-033176,2020-06-05 16:07:00,2020-05-17 10:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,3RD DIVISION,322,PARKING LOT / GARAGE                         ,5300 BLOCK NEW CUT RD                                       ,LOUISVILLE,40214,28710
80-20-033445,2020-06-07 03:12:00,2020-06-06 23:53:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,323,OTHER RESIDENCE (APARTMENT/CONDO)            ,7200 BLOCK YORKTOWN RD                                      ,LOUISVILLE,40214,28711
80-20-033537,2020-06-07 14:48:00,2020-06-07 14:48:00,OTHER,OVERDOSE,999,,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,500 BLOCK E ST CATHERINE ST                                 ,LOUISVILLE,40203,28712
80-20-033177,2020-06-05 16:49:00,2020-06-05 15:44:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,5500 BLOCK WESTHALL AVE                                     ,LOUISVILLE,40214,28713
80-20-033447,2020-06-07 00:15:00,2020-06-06 23:51:00,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1700 BLOCK WILSON AVE                                       ,LOUISVILLE,40210,28714
80-20-033538,2020-06-07 15:23:00,2020-06-07 15:20:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,3700 BLOCK CRAIG AVE                                        ,LOUISVILLE,40215,28715
80-20-033178,2020-06-05 16:20:00,2020-06-05 15:01:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,1ST DIVISION,123,JAIL / PENITENTARY                           ,400 BLOCK S 6TH ST                                          ,LOUISVILLE,40202,28716
80-20-033448,2020-06-06 23:56:00,2020-06-06 23:45:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,2000 BLOCK MAY AVE                                          ,LOUISVILLE,40217,28717
80-20-033449,2020-06-06 22:34:00,2020-06-06 22:34:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,5TH DIVISION,512,RESIDENCE / HOME                             ,500 BLOCK PINE ST                                           ,LOUISVILLE,40204,28718
80-20-033450,2020-06-07 00:12:00,2020-06-07 00:12:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,MANSFIELD LN / SHEPHERDSVILLE RD                            ,LOUISVILLE,40228,28719
80-20-033451,2020-06-07 00:52:00,2020-06-06 22:34:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,5TH DIVISION,512,RESIDENCE / HOME                             ,500 BLOCK PINE ST                                           ,LOUISVILLE,40204,28720
80-20-033452,2020-06-06 23:31:00,2020-06-06 23:31:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,5100 BLOCK GEMMA WAY                                        ,LOUISVILLE,40219,28721
80-20-033453,2020-06-07 00:27:00,2020-06-07 00:15:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,500 BLOCK ROSELANE ST                                       ,LOUISVILLE,40203,28722
80-20-033455,2020-06-07 02:09:00,2020-06-07 01:10:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,7TH DIVISION,723,SERVICE / GAS STATION                        ,7000 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40219,28723
